kind,observable,n_joined,n_finite_residual,amplitude,ra_deg,dec_deg,monopole,block_null_p_value,block_null_mocks,block_null_regions,controls,term,coefficient
dipole,CIV_1549_EW,761395.0,761395.0,0.3030605614159136,85.28108728182734,7.464323790707922,0.014647407386122887,0.9580838323353293,500.0,48.0,z;z2;LOGMSTAR;RCHI2_LINE;DELTA_LINECHI2;FLUX_SYNTH_G;FLUX_SYNTH_R;FLUX_SYNTH_Z;FLUX_G;FLUX_R;FLUX_Z;FLUX_W1;FLUX_W2;template_0_ebv;template_1_stardens;template_2_galdepth_g;template_3_galdepth_r;template_4_galdepth_z;template_5_psfsize_g;template_6_psfsize_r;template_7_psfsize_z;template_8_cosky_g;template_9_cosky_r;template_10_cosky_z,,
coefficient,CIV_1549_EW,,,,,,,,,,,intercept,33.05671906066771
coefficient,CIV_1549_EW,,,,,,,,,,,z,-17.137273108064655
coefficient,CIV_1549_EW,,,,,,,,,,,z2,15.039637361497089
coefficient,CIV_1549_EW,,,,,,,,,,,LOGMSTAR,-5.811403394198978
coefficient,CIV_1549_EW,,,,,,,,,,,RCHI2_LINE,-0.10318513585106796
coefficient,CIV_1549_EW,,,,,,,,,,,DELTA_LINECHI2,-0.3706614781415345
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_SYNTH_G,1.659403565991516
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_SYNTH_R,-4.727675197469485
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_SYNTH_Z,1.7931033982440798
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_G,2.858767682777443
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_R,-1.5703732126132228
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_Z,-0.07317272565944767
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_W1,2.4806109512906844
coefficient,CIV_1549_EW,,,,,,,,,,,FLUX_W2,-2.384815146399766
coefficient,CIV_1549_EW,,,,,,,,,,,template_0_ebv,0.023699298839438207
coefficient,CIV_1549_EW,,,,,,,,,,,template_1_stardens,-0.12343209542421976
coefficient,CIV_1549_EW,,,,,,,,,,,template_2_galdepth_g,0.02944964868356134
coefficient,CIV_1549_EW,,,,,,,,,,,template_3_galdepth_r,-0.49672063454373183
coefficient,CIV_1549_EW,,,,,,,,,,,template_4_galdepth_z,0.33520215763370087
coefficient,CIV_1549_EW,,,,,,,,,,,template_5_psfsize_g,-0.1459896810888471
coefficient,CIV_1549_EW,,,,,,,,,,,template_6_psfsize_r,0.3808011754847682
coefficient,CIV_1549_EW,,,,,,,,,,,template_7_psfsize_z,-0.1896785600723668
coefficient,CIV_1549_EW,,,,,,,,,,,template_8_cosky_g,-1.5568067895077993
coefficient,CIV_1549_EW,,,,,,,,,,,template_9_cosky_r,0.6662106289469133
coefficient,CIV_1549_EW,,,,,,,,,,,template_10_cosky_z,0.48413166877263786
