family,region,zbin,observable,n_joined,amplitude,ra_deg,dec_deg,block_null_p_value,source
primary,NGC+SGC,z1p5_2p1,LOG_CIII_MGII2796_EW,403644,0.0059511904348925,251.5158822775081,25.09329742597473,0.9800399201596808,outputs/tables/qso_line_ratio_primary_z1p5_2p1_log_ciii_mgii2796_ew_gradient.csv
primary,NGC+SGC,z1p5_2p1,LOG_CIV_CIII_EW,396908,0.0059272383636643,90.08600335194944,13.23573423975271,0.9700598802395208,outputs/tables/qso_line_ratio_primary_z1p5_2p1_log_civ_ciii_ew_gradient.csv
primary,NGC+SGC,z1p5_2p1,LOG_CIV_MGII2796_EW,407103,0.0027471428175526,149.26250669095452,-31.179438911754055,0.994011976047904,outputs/tables/qso_line_ratio_primary_z1p5_2p1_log_civ_mgii2796_ew_gradient.csv
primary,NGC+SGC,z2p1_3p5,LOG_CIII_MGII2796_EW,186114,0.0122458330383279,109.8812772120947,27.20672952430592,0.9800399201596808,outputs/tables/qso_line_ratio_primary_z2p1_3p5_log_ciii_mgii2796_ew_gradient.csv
primary,NGC+SGC,z2p1_3p5,LOG_CIV_CIII_EW,345404,0.0044678502469263,171.73616570900904,10.948000792238384,0.9800399201596808,outputs/tables/qso_line_ratio_primary_z2p1_3p5_log_civ_ciii_ew_gradient.csv
primary,NGC+SGC,z2p1_3p5,LOG_CIV_MGII2796_EW,186086,0.0177183474572099,174.8481010426584,-54.049311365408755,0.8802395209580839,outputs/tables/qso_line_ratio_primary_z2p1_3p5_log_civ_mgii2796_ew_gradient.csv
stability,NGC,z1p5_2p1,LOG_CIII_MGII2796_EW,262906,0.007754170100611,236.47710249029635,44.04986189923683,0.9920159680638724,outputs/tables/qso_line_ratio_stability_ngc_z1p5_2p1_log_ciii_mgii2796_ew_gradient.csv
stability,NGC,z1p5_2p1,LOG_CIV_CIII_EW,258497,0.0092273215902183,54.47774027971003,-25.906472055449235,0.9720558882235528,outputs/tables/qso_line_ratio_stability_ngc_z1p5_2p1_log_civ_ciii_ew_gradient.csv
stability,NGC,z1p5_2p1,LOG_CIV_MGII2796_EW,265126,0.0040470437484173,120.89297131678666,-47.11093628962333,0.996007984031936,outputs/tables/qso_line_ratio_stability_ngc_z1p5_2p1_log_civ_mgii2796_ew_gradient.csv
stability,NGC,z2p1_3p5,LOG_CIII_MGII2796_EW,121305,0.0103131350615582,48.42762938732468,-42.05300623389468,0.998003992015968,outputs/tables/qso_line_ratio_stability_ngc_z2p1_3p5_log_ciii_mgii2796_ew_gradient.csv
stability,NGC,z2p1_3p5,LOG_CIV_CIII_EW,224312,0.0042745068931516,320.3871904227587,-63.736163671930186,1.0,outputs/tables/qso_line_ratio_stability_ngc_z2p1_3p5_log_civ_ciii_ew_gradient.csv
stability,NGC,z2p1_3p5,LOG_CIV_MGII2796_EW,121109,0.0302505623805848,294.3531115340965,-75.81984221210034,0.9161676646706588,outputs/tables/qso_line_ratio_stability_ngc_z2p1_3p5_log_civ_mgii2796_ew_gradient.csv
stability,SGC,z1p5_2p1,LOG_CIII_MGII2796_EW,140738,0.0116668583688627,10.44871743434802,-36.44211053193735,0.9920159680638724,outputs/tables/qso_line_ratio_stability_sgc_z1p5_2p1_log_ciii_mgii2796_ew_gradient.csv
stability,SGC,z1p5_2p1,LOG_CIV_CIII_EW,138411,0.017076284865443,20.070758098272258,49.14831725704558,0.9720558882235528,outputs/tables/qso_line_ratio_stability_sgc_z1p5_2p1_log_civ_ciii_ew_gradient.csv
stability,SGC,z1p5_2p1,LOG_CIV_MGII2796_EW,141977,0.0084824503353839,27.993632565623855,-15.822666185402705,0.994011976047904,outputs/tables/qso_line_ratio_stability_sgc_z1p5_2p1_log_civ_mgii2796_ew_gradient.csv
stability,SGC,z2p1_3p5,LOG_CIII_MGII2796_EW,64809,0.0602062043851414,129.3188561169267,59.56146454384643,0.8862275449101796,outputs/tables/qso_line_ratio_stability_sgc_z2p1_3p5_log_ciii_mgii2796_ew_gradient.csv
stability,SGC,z2p1_3p5,LOG_CIV_CIII_EW,121092,0.0284900975173453,164.12181914966249,45.05081523521193,0.7245508982035929,outputs/tables/qso_line_ratio_stability_sgc_z2p1_3p5_log_civ_ciii_ew_gradient.csv
stability,SGC,z2p1_3p5,LOG_CIV_MGII2796_EW,64977,0.0624147596455794,118.65504238719564,55.80457507207078,0.780439121756487,outputs/tables/qso_line_ratio_stability_sgc_z2p1_3p5_log_civ_mgii2796_ew_gradient.csv
